measure,core_measure,domains,owner,sub_variable_id,sub_variable,relation,direction,variable,produced,description,units,statistic,scale,notes
16,"Health, education and care access",Social infrastructure,Carl,"180, 246, 379",Diversity of available educational services,direct,higher_is_better,avg_diversity_walk_education_500m,True,"Average diversity (0-1) of the 'education' destination sub-types reachable within 500 m along the pedestrian network: the Shannon entropy of the counts of each sub-type, normalised by the number of sub-types defined, so that 1 is an even spread across all of them and 0 is one sub-type only, or nothing reachable at all",index 0-1,mean,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","Over four levels: preschool, primary, secondary and tertiary.  A school combining several levels counts towards each level it serves."
16,"Health, education and care access",Social infrastructure,Carl,"180, 246, 379",Diversity of available educational services,direct,higher_is_better,avg_diversity_walk_education_1000m,True,"Average diversity (0-1) of the 'education' destination sub-types reachable within 1000 m along the pedestrian network: the Shannon entropy of the counts of each sub-type, normalised by the number of sub-types defined, so that 1 is an even spread across all of them and 0 is one sub-type only, or nothing reachable at all",index 0-1,mean,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","Over four levels: preschool, primary, secondary and tertiary.  A school combining several levels counts towards each level it serves."
16,"Health, education and care access",Social infrastructure,Carl,"180, 246, 379",Diversity of available educational services,direct,higher_is_better,avg_richness_walk_education_500m,True,Average share (0-1) of the 'education' destination sub-types with at least one destination reachable within 500 m along the pedestrian network,index 0-1,mean,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","Over four levels: preschool, primary, secondary and tertiary.  A school combining several levels counts towards each level it serves."
16,"Health, education and care access",Social infrastructure,Carl,"180, 246, 379",Diversity of available educational services,direct,higher_is_better,avg_count_walk_education__preschool_500m,True,"Average number of 'preschool' destinations, a sub-type of 'education', reachable within 500 m along the pedestrian network",count,mean,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","Over four levels: preschool, primary, secondary and tertiary.  A school combining several levels counts towards each level it serves."
16,"Health, education and care access",Social infrastructure,Carl,"180, 246, 379",Diversity of available educational services,direct,higher_is_better,avg_count_walk_education__primary_500m,True,"Average number of 'primary' destinations, a sub-type of 'education', reachable within 500 m along the pedestrian network",count,mean,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","Over four levels: preschool, primary, secondary and tertiary.  A school combining several levels counts towards each level it serves."
16,"Health, education and care access",Social infrastructure,Carl,"180, 246, 379",Diversity of available educational services,direct,higher_is_better,avg_count_walk_education__secondary_500m,True,"Average number of 'secondary' destinations, a sub-type of 'education', reachable within 500 m along the pedestrian network",count,mean,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","Over four levels: preschool, primary, secondary and tertiary.  A school combining several levels counts towards each level it serves."
16,"Health, education and care access",Social infrastructure,Carl,"180, 246, 379",Diversity of available educational services,direct,higher_is_better,avg_count_walk_education__tertiary_500m,True,"Average number of 'tertiary' destinations, a sub-type of 'education', reachable within 500 m along the pedestrian network",count,mean,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","Over four levels: preschool, primary, secondary and tertiary.  A school combining several levels counts towards each level it serves."
16,"Health, education and care access",Social infrastructure,Carl,"97, 101, 170",Access to health & health care services,direct,higher_is_better,pct_access_walk_denue_primary_healthcare_500m,True,Percentage of population with walking access within 500 m to 'denue primary healthcare' (custom destination),percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa",
16,"Health, education and care access",Social infrastructure,Carl,"97, 101, 170",Access to health & health care services,direct,higher_is_better,pct_access_walk_denue_medical_clinic_500m,True,Percentage of population with walking access within 500 m to 'denue medical clinic' (custom destination),percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa",
16,"Health, education and care access",Social infrastructure,Carl,"97, 101, 170",Access to health & health care services,direct,higher_is_better,pct_access_walk_denue_hospital_500m,True,Percentage of population with walking access within 500 m to 'denue hospital' (custom destination),percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa",
16,"Health, education and care access",Social infrastructure,Carl,"97, 101, 170",Access to health & health care services,direct,higher_is_better,pct_access_walk_denue_pharmacy_500m,True,Percentage of population with walking access within 500 m to 'denue pharmacy' (custom destination),percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa",
16,"Health, education and care access",Social infrastructure,Carl,"97, 101, 170",Diversity of available health & health care services,direct,higher_is_better,avg_diversity_walk_health_care_500m,True,"Average diversity (0-1) of the 'health care' destination sub-types reachable within 500 m along the pedestrian network: the Shannon entropy of the counts of each sub-type, normalised by the number of sub-types defined, so that 1 is an even spread across all of them and 0 is one sub-type only, or nothing reachable at all",index 0-1,mean,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa",
16,"Health, education and care access",Social infrastructure,Carl,"97, 101, 170",Diversity of available health & health care services,direct,higher_is_better,avg_diversity_walk_health_care_1000m,True,"Average diversity (0-1) of the 'health care' destination sub-types reachable within 1000 m along the pedestrian network: the Shannon entropy of the counts of each sub-type, normalised by the number of sub-types defined, so that 1 is an even spread across all of them and 0 is one sub-type only, or nothing reachable at all",index 0-1,mean,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa",
16,"Health, education and care access",Social infrastructure,Carl,"97, 101, 170",Diversity of available health & health care services,direct,higher_is_better,avg_richness_walk_health_care_500m,True,Average share (0-1) of the 'health care' destination sub-types with at least one destination reachable within 500 m along the pedestrian network,index 0-1,mean,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa",
16,"Health, education and care access",Social infrastructure,Carl,"97, 101, 170",Diversity of available health & health care services,direct,higher_is_better,avg_count_walk_health_care__primary_healthcare_500m,True,"Average number of 'primary healthcare' destinations, a sub-type of 'health care', reachable within 500 m along the pedestrian network",count,mean,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa",
16,"Health, education and care access",Social infrastructure,Carl,"97, 101, 170",Diversity of available health & health care services,direct,higher_is_better,avg_count_walk_health_care__specialist_clinic_500m,True,"Average number of 'specialist clinic' destinations, a sub-type of 'health care', reachable within 500 m along the pedestrian network",count,mean,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa",
16,"Health, education and care access",Social infrastructure,Carl,"97, 101, 170",Diversity of available health & health care services,direct,higher_is_better,avg_count_walk_health_care__hospital_500m,True,"Average number of 'hospital' destinations, a sub-type of 'health care', reachable within 500 m along the pedestrian network",count,mean,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa",
16,"Health, education and care access",Social infrastructure,Carl,"97, 101, 170",Diversity of available health & health care services,direct,higher_is_better,avg_count_walk_health_care__pharmacy_500m,True,"Average number of 'pharmacy' destinations, a sub-type of 'health care', reachable within 500 m along the pedestrian network",count,mean,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa",
16,"Health, education and care access",Social infrastructure,Carl,"97, 101, 170",Diversity of available health & health care services,direct,higher_is_better,avg_count_walk_health_care__care_support_500m,True,"Average number of 'care support' destinations, a sub-type of 'health care', reachable within 500 m along the pedestrian network",count,mean,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa",
16,"Health, education and care access",Social infrastructure,Carl,,Access to care services,direct,higher_is_better,pct_access_walk_denue_care_support_500m,True,Percentage of population with walking access within 500 m to 'denue care support' (custom destination),percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa",
16,"Health, education and care access",Social infrastructure,Carl,,Access to care services,direct,higher_is_better,pct_access_walk_denue_childcare_500m,True,Percentage of population with walking access within 500 m to 'denue childcare' (custom destination),percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa",
16,"Health, education and care access",Social infrastructure,Carl,,Access to care services,direct,higher_is_better,avg_walk_dist_denue_childcare,True,Average distance (m) along the pedestrian network to the nearest 'denue childcare' (custom destination),metres,mean,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa",
17,"Community, culture and recreation access",Social infrastructure,Carl,"4, 46, 58, 121, 134, 225, 228, 257, 394","Access to community, culture and recreation services",direct,higher_is_better,pct_access_walk_denue_community_500m,True,Percentage of population with walking access within 500 m to 'denue community' (custom destination),percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","Delivered as the four functional categories separately rather than pooled, which answers the workbook's open question about splitting this into community, cultural and recreational."
17,"Community, culture and recreation access",Social infrastructure,Carl,"4, 46, 58, 121, 134, 225, 228, 257, 394","Access to community, culture and recreation services",direct,higher_is_better,pct_access_walk_denue_culture_500m,True,Percentage of population with walking access within 500 m to 'denue culture' (custom destination),percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","Delivered as the four functional categories separately rather than pooled, which answers the workbook's open question about splitting this into community, cultural and recreational."
17,"Community, culture and recreation access",Social infrastructure,Carl,"4, 46, 58, 121, 134, 225, 228, 257, 394","Access to community, culture and recreation services",direct,higher_is_better,pct_access_walk_denue_sport_500m,True,Percentage of population with walking access within 500 m to 'denue sport' (custom destination),percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","Delivered as the four functional categories separately rather than pooled, which answers the workbook's open question about splitting this into community, cultural and recreational."
17,"Community, culture and recreation access",Social infrastructure,Carl,"4, 46, 58, 121, 134, 225, 228, 257, 394","Access to community, culture and recreation services",direct,higher_is_better,pct_access_walk_denue_recreation_500m,True,Percentage of population with walking access within 500 m to 'denue recreation' (custom destination),percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","Delivered as the four functional categories separately rather than pooled, which answers the workbook's open question about splitting this into community, cultural and recreational."
17,"Community, culture and recreation access",Social infrastructure,Carl,"4, 46, 58, 121, 134, 225, 228, 257, 394","Diversity of community, culture and recreation services",direct,higher_is_better,avg_diversity_walk_community_culture_recreation_500m,True,"Average diversity (0-1) of the 'community culture recreation' destination sub-types reachable within 500 m along the pedestrian network: the Shannon entropy of the counts of each sub-type, normalised by the number of sub-types defined, so that 1 is an even spread across all of them and 0 is one sub-type only, or nothing reachable at all",index 0-1,mean,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","This is the Calculation guide's ""capped weighted diversity score"" for the community/recreation domain, computed as normalised entropy so the cap is inherent rather than applied afterwards."
17,"Community, culture and recreation access",Social infrastructure,Carl,"4, 46, 58, 121, 134, 225, 228, 257, 394","Diversity of community, culture and recreation services",direct,higher_is_better,avg_diversity_walk_community_culture_recreation_1000m,True,"Average diversity (0-1) of the 'community culture recreation' destination sub-types reachable within 1000 m along the pedestrian network: the Shannon entropy of the counts of each sub-type, normalised by the number of sub-types defined, so that 1 is an even spread across all of them and 0 is one sub-type only, or nothing reachable at all",index 0-1,mean,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","This is the Calculation guide's ""capped weighted diversity score"" for the community/recreation domain, computed as normalised entropy so the cap is inherent rather than applied afterwards."
17,"Community, culture and recreation access",Social infrastructure,Carl,"4, 46, 58, 121, 134, 225, 228, 257, 394","Diversity of community, culture and recreation services",direct,higher_is_better,avg_richness_walk_community_culture_recreation_500m,True,Average share (0-1) of the 'community culture recreation' destination sub-types with at least one destination reachable within 500 m along the pedestrian network,index 0-1,mean,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","This is the Calculation guide's ""capped weighted diversity score"" for the community/recreation domain, computed as normalised entropy so the cap is inherent rather than applied afterwards."
17,"Community, culture and recreation access",Social infrastructure,Carl,"4, 46, 58, 121, 134, 225, 228, 257, 394","Diversity of community, culture and recreation services",direct,higher_is_better,avg_count_walk_community_culture_recreation__community_500m,True,"Average number of 'community' destinations, a sub-type of 'community culture recreation', reachable within 500 m along the pedestrian network",count,mean,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","This is the Calculation guide's ""capped weighted diversity score"" for the community/recreation domain, computed as normalised entropy so the cap is inherent rather than applied afterwards."
17,"Community, culture and recreation access",Social infrastructure,Carl,"4, 46, 58, 121, 134, 225, 228, 257, 394","Diversity of community, culture and recreation services",direct,higher_is_better,avg_count_walk_community_culture_recreation__culture_500m,True,"Average number of 'culture' destinations, a sub-type of 'community culture recreation', reachable within 500 m along the pedestrian network",count,mean,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","This is the Calculation guide's ""capped weighted diversity score"" for the community/recreation domain, computed as normalised entropy so the cap is inherent rather than applied afterwards."
17,"Community, culture and recreation access",Social infrastructure,Carl,"4, 46, 58, 121, 134, 225, 228, 257, 394","Diversity of community, culture and recreation services",direct,higher_is_better,avg_count_walk_community_culture_recreation__sport_500m,True,"Average number of 'sport' destinations, a sub-type of 'community culture recreation', reachable within 500 m along the pedestrian network",count,mean,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","This is the Calculation guide's ""capped weighted diversity score"" for the community/recreation domain, computed as normalised entropy so the cap is inherent rather than applied afterwards."
17,"Community, culture and recreation access",Social infrastructure,Carl,"4, 46, 58, 121, 134, 225, 228, 257, 394","Diversity of community, culture and recreation services",direct,higher_is_better,avg_count_walk_community_culture_recreation__recreation_500m,True,"Average number of 'recreation' destinations, a sub-type of 'community culture recreation', reachable within 500 m along the pedestrian network",count,mean,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","This is the Calculation guide's ""capped weighted diversity score"" for the community/recreation domain, computed as normalised entropy so the cap is inherent rather than applied afterwards."
18,Neighborhood parks,Social infrastructure,Carl,,Access to neighbourhood parks,direct,higher_is_better,pct_access_500m_public_open_space_any_score,True,Percentage of population with access within 500 m of any public open space (source: OpenStreetMap),percent,percentage,"grid, custom: manzanas, custom: condesa_lotes",Same underlying measure as core measure 7; reported once.
18,Neighborhood parks,Social infrastructure,Carl,,Access to neighbourhood parks,direct,higher_is_better,avg_walk_dist_public_open_space_any,True,Average distance (m) along the pedestrian network to the nearest public open space (source: OpenStreetMap),metres,mean,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa",Same underlying measure as core measure 7; reported once.
19,Access to employment,Economic development,Carl,112,Reachable jobs,proxy,higher_is_better,pct_access_walk_denue_employer_medium_1000m,True,Percentage of population with walking access within 1000 m to 'denue employer medium' (custom destination),percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","DENUE records employment as a size band, not a headcount, so a gravity-weighted reachable-jobs score cannot be computed from it.  Per the workbook's own note, call this employment-establishment accessibility rather than jobs accessibility."
19,Access to employment,Economic development,Carl,112,Reachable jobs,proxy,higher_is_better,avg_walk_dist_denue_employer_medium,True,Average distance (m) along the pedestrian network to the nearest 'denue employer medium' (custom destination),metres,mean,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","DENUE records employment as a size band, not a headcount, so a gravity-weighted reachable-jobs score cannot be computed from it.  Per the workbook's own note, call this employment-establishment accessibility rather than jobs accessibility."
19,Access to employment,Economic development,Carl,112,Reachable jobs,proxy,higher_is_better,pct_access_walk_denue_employment_any_1000m,True,Percentage of population with walking access within 1000 m to 'denue employment any' (custom destination),percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","DENUE records employment as a size band, not a headcount, so a gravity-weighted reachable-jobs score cannot be computed from it.  Per the workbook's own note, call this employment-establishment accessibility rather than jobs accessibility."
19,Access to employment,Economic development,Carl,127,Access to manufacturing district / centre,direct,non_monotonic,avg_walk_dist_denue_manufacturing,True,Average distance (m) along the pedestrian network to the nearest 'denue manufacturing' (custom destination),metres,mean,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa",Direction is genuinely ambiguous and should not be forced: proximity is an employment opportunity and an exposure to air and noise pollution at the same time.  Highly relevant as Condesa has manufacturing nearby.
19,Access to employment,Economic development,Carl,,Job diversity,not_covered,higher_is_better,,False,,,,,Feasible with the machinery now in place -- a diversity set over SCIAN sectors would do it -- but the sub-variable is unassigned and the sector grouping has not been agreed.
22,Level of Traffic Stress for Cycling,Safety; Mobility & Transport; Built Infrastructure,Carl,,Cycling access and distance to destinations by level of traffic stress,direct,higher_is_better,pct_access_cycle_fresh_food_market_1000m,True,"Percentage of population with cycling access within 1000 m to a fresh food market / supermarket (source: OpenStreetMap or custom data), using a danger-weighted route over the full cycling network (higher-stress links usable at a proportionate distance penalty)",percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","A suite rather than a single variable, as the workbook notes.  Access is reported over the plain cycling network and over the low-stress (LTS <= 2) network, the contrast between them being the measure of traffic stress.  Note the cycling analysis measures the *global* destination set, not the DENUE categories: the region declares its destinations under 'pedestrian' precisely so that cycling stays comparable with other cities."
22,Level of Traffic Stress for Cycling,Safety; Mobility & Transport; Built Infrastructure,Carl,,Cycling access and distance to destinations by level of traffic stress,direct,higher_is_better,pct_access_cycle_safe_fresh_food_market_1000m,True,"Percentage of population with cycling access within 1000 m to a fresh food market / supermarket (source: OpenStreetMap or custom data), using a fully low-stress route (Level of Traffic Stress 1–2)",percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","A suite rather than a single variable, as the workbook notes.  Access is reported over the plain cycling network and over the low-stress (LTS <= 2) network, the contrast between them being the measure of traffic stress.  Note the cycling analysis measures the *global* destination set, not the DENUE categories: the region declares its destinations under 'pedestrian' precisely so that cycling stays comparable with other cities."
22,Level of Traffic Stress for Cycling,Safety; Mobility & Transport; Built Infrastructure,Carl,,Cycling access and distance to destinations by level of traffic stress,direct,higher_is_better,avg_cycle_dist_fresh_food_market,True,"Average distance (m) by cycling to the nearest fresh food market / supermarket (source: OpenStreetMap or custom data), using a danger-weighted route over the full cycling network (higher-stress links usable at a proportionate distance penalty)",metres,mean,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","A suite rather than a single variable, as the workbook notes.  Access is reported over the plain cycling network and over the low-stress (LTS <= 2) network, the contrast between them being the measure of traffic stress.  Note the cycling analysis measures the *global* destination set, not the DENUE categories: the region declares its destinations under 'pedestrian' precisely so that cycling stays comparable with other cities."
22,Level of Traffic Stress for Cycling,Safety; Mobility & Transport; Built Infrastructure,Carl,,Cycling access and distance to destinations by level of traffic stress,direct,higher_is_better,avg_cycle_dist_safe_fresh_food_market,True,"Average distance (m) by cycling to the nearest fresh food market / supermarket (source: OpenStreetMap or custom data), using a fully low-stress route (Level of Traffic Stress 1–2)",metres,mean,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","A suite rather than a single variable, as the workbook notes.  Access is reported over the plain cycling network and over the low-stress (LTS <= 2) network, the contrast between them being the measure of traffic stress.  Note the cycling analysis measures the *global* destination set, not the DENUE categories: the region declares its destinations under 'pedestrian' precisely so that cycling stays comparable with other cities."
23,Walkability Index,Built environment; Mobility & Transport; Social Infrastructure,Carl,74,Walkability index,complementary,higher_is_better,local_walkability,True,Average walkability index of sample points in this area,index (sum of z-scores),mean,"city, grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","The definitions differ and should not be silently substituted for one another.  GHSCI sums z-scores of the daily living score, neighbourhood population density and intersection density.  The workbook specifies z-scored net residential density + commercial land use proportion + 2 x connectivity + land use mix.  Both the GHSCI index and its components are delivered in natural units so the workbook's version can be assembled centrally; land use mix and commercial land use proportion come from the municipal land use layer (WP06), not from us."
23,Walkability Index,Built environment; Mobility & Transport; Social Infrastructure,Carl,74,Walkability index,complementary,higher_is_better,pop_walkability,True,Average walkability index (population weighted),index (sum of z-scores),mean,"city, custom: agebs, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","The definitions differ and should not be silently substituted for one another.  GHSCI sums z-scores of the daily living score, neighbourhood population density and intersection density.  The workbook specifies z-scored net residential density + commercial land use proportion + 2 x connectivity + land use mix.  Both the GHSCI index and its components are delivered in natural units so the workbook's version can be assembled centrally; land use mix and commercial land use proportion come from the municipal land use layer (WP06), not from us."
23,Walkability Index,Built environment; Mobility & Transport; Social Infrastructure,Carl,"230, 120, 74",Net residential density,proxy,higher_is_better,local_nh_population_density,True,Average walkable neighbourhood population density (population per km²) of sample points in this area,persons per km²,mean,"city, grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa","GHSCI computes population density over the walkable neighbourhood, not dwelling density over residential land."
23,Walkability Index,Built environment; Mobility & Transport; Social Infrastructure,Carl,"362, 74",Street connectivity,direct,higher_is_better,local_nh_intersection_density,True,Average walkable neighbourhood intersection density (intersections per km²) of sample points in this area,count per km²,mean,"city, grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa",
23,Walkability Index,Built environment; Mobility & Transport; Social Infrastructure,Carl,"116, 74",Land use mix,not_covered,higher_is_better,,False,,,,,"From the municipal land use layer (USOS_DE_SUELO_EXITS_24), not from GHSCI.  Note the workbook's formula for it is the same normalised entropy used for the diversity measures above, so the two are directly comparable in form if not in input."
24,Cycling infrastructure presence,Safety; Mobility & Transport; Built Infrastructure,Alejandro,,Bicycle lane coverage,component,higher_is_better,,False,,,,,"Not assigned to us, but derivable at no extra cost from the level of traffic stress network already built: length by LTS class over total network length.  Offered rather than assumed."
